Orig_Label,Annotate_medium
Epithelial cell|Epithelial cell of lung|Airway basal cell,Epithelial cell|Epithelial cell of lung
Epithelial cell|Epithelial cell of lung|Alveolar epithelial cell|AT1,Epithelial cell|Epithelial cell of lung|AT1
Epithelial cell|Epithelial cell of lung|Alveolar epithelial cell|AT2|Cycling AT2,Epithelial cell|Epithelial cell of lung|AT2
Epithelial cell|Epithelial cell of lung|Club cell,Epithelial cell|Epithelial cell of lung
Epithelial cell|Epithelial cell of lung|Multiciliated cell|CDC20B+ Multiciliated cell,Epithelial cell|Epithelial cell of lung
Epithelial cell|Epithelial cell of lung|Neuroendocrine cell,Epithelial cell|Epithelial cell of lung
Epithelial cell|Epithelial cell of ovary|AFP+ epithelial cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|CLDN3+ epithelial cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|GABRP+ epithelial cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|Granulosa cell|MT2A+ granulosa cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|Granulosa cell|OSR1+ granulosa cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|Granulosa cell|PAX8+ granulosa cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|Granulosa cell|Steroidogenesis granulosa cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|Granulosa cell|TAC1+ granulosa cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|Ovarian cancer related epithelial cell|Ovarian cancer enriched cycling epithelial cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|Ovarian cancer related epithelial cell|Ovarian cancer enriched S100A9+MUC16+ epithelial cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|Ovarian cancer related epithelial cell|Ovarian cancer specific EMT cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of ovary|Ovarian cancer related epithelial cell|Ovarian cancer specific LGR5+MUC16+ epithelial cell,Epithelial cell|Epithelial cell of ovary
Epithelial cell|Epithelial cell of pancreas|Acinar cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|Alpha cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|Beta cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|Epsilon cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|Pancreatic ductal cell|CCL2+ pancreatic ductal cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|Pancreatic ductal cell|HSP+ pancreatic ductal cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|Pancreatic ductal cell|MT2A+ ductal cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|Pancreatic ductal cell|TFF1+ ductal cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|Pancreatic ductal cell|TUBA1A+ ductal cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|PP cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of pancreas|Metallothionein+ epithelial cell,Epithelial cell|Epithelial cell of pancreas
Epithelial cell|Epithelial cell of skin|Keratinocyte|Basal keratinocyte,Epithelial cell|Epithelial cell of skin
Epithelial cell|Epithelial cell of skin|Keratinocyte|Cycling keratinocyte,Epithelial cell|Epithelial cell of skin
Epithelial cell|Epithelial cell of skin|Keratinocyte|Granular keratinocyte,Epithelial cell|Epithelial cell of skin
Epithelial cell|Epithelial cell of skin|Keratinocyte|Secretory cell,Epithelial cell|Epithelial cell of skin
Epithelial cell|Epithelial cell of skin|Keratinocyte|Spinous keratinocyte,Epithelial cell|Epithelial cell of skin
Epithelial cell|Epithelial cell of skin|Merkel cell carcinoma enriched epithelial cell,Epithelial cell|Epithelial cell of skin
Epithelial cell|Epithelial cell of stomach|Chief cell,Epithelial cell|Epithelial cell of stomach
Epithelial cell|Epithelial cell of stomach|Delta cell,Epithelial cell|Epithelial cell of stomach
Epithelial cell|Epithelial cell of stomach|Enterochromaffin cell,Epithelial cell|Epithelial cell of stomach
Epithelial cell|Epithelial cell of stomach|SCGB2A1+ endocrine cell,Epithelial cell|Epithelial cell of stomach
Epithelial cell|Epithelial cell of stomach|Surface mucous cell|CXCL2/3+ surface mucous cell,Epithelial cell|Epithelial cell of stomach
Epithelial cell|Epithelial cell of stomach|Surface mucous cell|Cycling surface mucous cell|G2/M phase surface mucous cell,Epithelial cell|Epithelial cell of stomach
Epithelial cell|Epithelial cell of stomach|Surface mucous cell|Cycling surface mucous cell|S phase surface mucous cell,Epithelial cell|Epithelial cell of stomach
Epithelial cell|Epithelial cell of stomach|Surface mucous cell|GKN1/2+ surface mucous cell,Epithelial cell|Epithelial cell of stomach
Epithelial cell|Epithelial cell of testis|Leydig cell|Cycling Leydig cell,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Leydig cell|Fetal Leydig cell,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Leydig cell|IL1RAPL1+ Leyding cell,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Leydig cell|INSL3+ Leydig cell,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Leydig cell|Leydig cell progenitor,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Peritubular myoid cell|Peritubular myoid cell progenitor,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Sertoli and Interstitial cell common progenitor,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Sertoli cell|Cycling Sertoli cell,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Sertoli cell|ROBO2+ fetal Sertoli cell,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Supporting-like PAX8+ cell,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of testis|Luminal cell,Epithelial cell|Epithelial cell of testis
Epithelial cell|Epithelial cell of thymus|Cortical thymic epithelial cell,Epithelial cell|Epithelial cell of thymus
Epithelial cell|Epithelial cell of thymus|Cycling thymic epithelial cell,Epithelial cell|Epithelial cell of thymus
Epithelial cell|Epithelial cell of thymus|Medullary thymic epithelial cell|Corneocyte-like mTEC,Epithelial cell|Epithelial cell of thymus
Epithelial cell|Epithelial cell of thymus|Medullary thymic epithelial cell|Immature medullary thymic epithelial cell,Epithelial cell|Epithelial cell of thymus
Epithelial cell|Epithelial cell of thymus|Thymic ciliated cell,Epithelial cell|Epithelial cell of thymus
Epithelial cell|Epithelial cell of thymus|Thymic myoid cell,Epithelial cell|Epithelial cell of thymus
Epithelial cell|Epithelial cell of tonsil|Tonsillar crypt epithelial cell,Epithelial cell|Epithelial cell of tonsil
Epithelial cell|Mesothelial cell|CRABP1+ mesothelial cell,Epithelial cell|Mesothelial cell
Epithelial cell|Mesothelial cell|Cycling mesothelial cell,Epithelial cell|Mesothelial cell
Epithelial cell|Mesothelial cell|GATA4+ mesothelial cell,Epithelial cell|Mesothelial cell
Epithelial cell|PDAC related epithelial cell|Cycling PDAC specific ductal cell,Epithelial cell|PDAC related epithelial cell
Epithelial cell|PDAC related epithelial cell|PDAC specific ductal cell,Epithelial cell|PDAC related epithelial cell
Fibroblast|BNC2+ZFPM2+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|ADAM12+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|CDH19+LAMA2+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|MFAP5+IGFBP6+ fibroblast|Cycling MFAP5+IGFBP6+ fibroblast|G2/M phase MFAP5+IGFBP6+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|MFAP5+IGFBP6+ fibroblast|Cycling MFAP5+IGFBP6+ fibroblast|S phase MFAP5+IGFBP6+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|C7+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|CXCL14+ fibroblast|CXCL14+C7+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|CXCL14+ fibroblast|Cycling CXCL14+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|CXCL14+ fibroblast|PTGDS+CXCL14+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|CXCL14+ fibroblast|CXCL14+POSTN+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|APCDD1+ fibroblast|CD9+APCDD1+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|APOE+ fibroblast|CCL19+APOE+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|COCH+ fibroblast|COCH+TNN+ fibroblast,Fibroblast
Fibroblast|CFD+MGP+ fibroblast|FGFBP2+ fibroblast|FGFBP2+OLFML2A+ fibroblast,Fibroblast
Fibroblast|Fetal KCNQ1OT1+MIR503HG+ fibroblast,Fibroblast
Fibroblast|MDK+NREP+ fibroblast|GPC3+ fibroblast|Cycling GPC3+ fibroblast|G2/M phase GPC3+ fibroblast,Fibroblast
Fibroblast|MDK+NREP+ fibroblast|GPC3+ fibroblast|Cycling GPC3+ fibroblast|S phase GPC3+ fibroblast,Fibroblast
Fibroblast|MDK+NREP+ fibroblast|ADAMDEC1+ fibroblast|ADAMDEC1+ADAM28+ fibroblast,Fibroblast
Fibroblast|Mesenchymal stromal cell,Fibroblast
Fibroblast|Myofibroblast,Fibroblast
Fibroblast|Metallothionein+ fibroblast|Metallothionein+ Collagen- fibroblast,Fibroblast
Fibroblast|PCOLCE2 fibroblast,Fibroblast
Fibroblast|POSTN fibroblast,Fibroblast
Fibroblast|SCN7A fibroblast,Fibroblast
Fibroblast|TNC fibroblast,Fibroblast
Fibroblast|NR4A3 fibroblast,Fibroblast
Fibroblast|IGFBP6+APOD+ fibroblast,Fibroblast
Fibroblast|FBLN2+APOD+ fibroblast,Fibroblast
Fibroblast|IGFBP6+SFRP4+ fibroblast,Fibroblast
Fibroblast|CXCL+ fibroblast|CXCL8+ fibroblast|APOD+PTGDS+ fibroblast|Collagen+APOD+PTGDS+ fibroblast,Fibroblast
Fibroblast|CXCL+ fibroblast|CXCL8+ fibroblast|APOD+PTGDS+ fibroblast|IL1RL1+APOD+PTGDS+ fibroblast,Fibroblast
Fibroblast|CXCL+ fibroblast|CXCL8+ fibroblast|CXCL5+ADAM12+ fibroblast|Cycling CXCL5+ADAM12+ fibroblast|G2/M phase CXCL5+ADAM12+ fibroblast,Fibroblast
Fibroblast|CXCL+ fibroblast|CXCL8+ fibroblast|CXCL5+ADAM12+ fibroblast|Cycling CXCL5+ADAM12+ fibroblast|S phase CXCL5+ADAM12+ fibroblast,Fibroblast
Fibroblast|CXCL+ fibroblast|CXCL1/2/3 fibroblast,Fibroblast
Fibroblast|CCL11+ fibroblast,Fibroblast
Fibroblast|F3+ fibroblast,Fibroblast
Fibroblast|Cycling fibroblast,Fibroblast
Fibroblast|MMP1+ fibroblast,Fibroblast
Fibroblast|KCNN3+ fibroblast,Fibroblast
Fibroblast|C3+ fibroblast,Fibroblast
Fibroblast|CDCA7+ fibroblast|Cycling CDCA7+ fibroblast,Fibroblast
Fibroblast|GREB1+ fibroblast,Fibroblast
Fibroblast|PLAC9+ fibroblast,Fibroblast
Fibroblast|RNASE1+ fibroblast,Fibroblast
Fibroblast|IGFBP1+ fibroblast,Fibroblast
Fibroblast|SPARCL1+ fibroblast,Fibroblast
Fibroblast|ANGPTL7+NRP2+ fibroblast,Fibroblast
Fibroblast|CCL2+SFRP2+ fibroblast,Fibroblast
Fibroblast|CD55+SEMA3C+ fibroblast,Fibroblast
Fibroblast|CLU+ fibroblast,Fibroblast
Fibroblast|THY1+ fibroblast,Fibroblast
Fibroblast|C2orf40+ fibroblast,Fibroblast
Fibroblast|WISP2+ fibroblast,Fibroblast
Fibroblast|TCIM+NRG1+ fibroblast,Fibroblast
Fibroblast|FRZB+ fibroblast,Fibroblast
Fibroblast|G0S2+PPP1R14A+ fibroblast,Fibroblast
Fibroblast|PLA2G2A+IGFBP4+APOC1+ fibroblast,Fibroblast
Fibroblast|Adipose ITLN1 fibroblast,Fibroblast
Germ cell|Oocyte|Meiotic oocyte,Germ cell
Germ cell|Oocyte|Mitotic oocyte,Germ cell
Germ cell|Oocyte|Retinoid acid responsive oocyte,Germ cell
Germ cell|Primordial germ cell|Cycling primordial germ cell,Germ cell
Germ cell|Spermatocyte|Early spermatocyte,Germ cell
Germ cell|Spermatocyte|Late spermatocyte,Germ cell
Germ cell|Spermatocyte|Spermatid|Elongated spermatid,Germ cell
Germ cell|Spermatocyte|Spermatid|Elongating spermatid,Germ cell
Germ cell|Spermatocyte|Spermatid|Round spermatid,Germ cell
Germ cell|Spermatocyte|Spermatogonial stem cell|Cycling spermatogonial stem cell,Germ cell
Glial cell|Glial cell of brain|Astrocyte|Fibrous astrocyte,Glial cell|Astrocyte
Glial cell|Glial cell of brain|Astrocyte|Protoplasmic astrocyte,Glial cell|Astrocyte
Glial cell|Glial cell of brain|Oligodendrocyte|Oligodendrocyte progenitor cell,Glial cell|Oligodendrocyte
